,demand
2005-01-01 00:00:00,-25284.48
2005-01-01 01:00:00,-24387.44
2005-01-01 02:00:00,-23730.656
2005-01-01 03:00:00,-23123.04
2005-01-01 04:00:00,-23119.6
2005-01-01 05:00:00,-23683.28
2005-01-01 06:00:00,-24364.72
2005-01-01 07:00:00,-25249.968
2005-01-01 08:00:00,-26090.208
2005-01-01 09:00:00,-26870.464
2005-01-01 10:00:00,-27096.64
2005-01-01 11:00:00,-27001.568
2005-01-01 12:00:00,-27097.136
2005-01-01 13:00:00,-27438.192
2005-01-01 14:00:00,-28622.992
2005-01-01 15:00:00,-30166.272
2005-01-01 16:00:00,-31613.12
2005-01-01 17:00:00,-31965.28
2005-01-01 18:00:00,-31139.792
2005-01-01 19:00:00,-30229.456
2005-01-01 20:00:00,-29165.616
2005-01-01 21:00:00,-27508.704
2005-01-01 22:00:00,-26001.632
2005-01-01 23:00:00,-25050.672
2005-01-02 00:00:00,-24391.136
2005-01-02 01:00:00,-24143.888
2005-01-02 02:00:00,-24237.76
2005-01-02 03:00:00,-24841.728
2005-01-02 04:00:00,-26832.752
2005-01-02 05:00:00,-29293.6
2005-01-02 06:00:00,-31062.336
2005-01-02 07:00:00,-32192.288
2005-01-02 08:00:00,-32969.296
2005-01-02 09:00:00,-33562.496
2005-01-02 10:00:00,-33535.504
2005-01-02 11:00:00,-33355.728
2005-01-02 12:00:00,-33234.144
2005-01-02 13:00:00,-33526
2005-01-02 14:00:00,-34474.864
2005-01-02 15:00:00,-35769.216
2005-01-02 16:00:00,-36819.424
2005-01-02 17:00:00,-36838.016
2005-01-02 18:00:00,-35330.4
2005-01-02 19:00:00,-33791.248
2005-01-02 20:00:00,-32205.2
2005-01-02 21:00:00,-30046.832
2005-01-02 22:00:00,-28241.6
2005-01-02 23:00:00,-27086.592
2005-01-03 00:00:00,-26405.408
2005-01-03 01:00:00,-26148.112
2005-01-03 02:00:00,-26243.968
2005-01-03 03:00:00,-26815.568
2005-01-03 04:00:00,-29051.792
2005-01-03 05:00:00,-31915.536
2005-01-03 06:00:00,-33825.792
2005-01-03 07:00:00,-34791.312
2005-01-03 08:00:00,-35248.512
2005-01-03 09:00:00,-35543.136
2005-01-03 10:00:00,-35327.968
2005-01-03 11:00:00,-35020.832
2005-01-03 12:00:00,-34918.768
2005-01-03 13:00:00,-35260.944
2005-01-03 14:00:00,-36226.224
2005-01-03 15:00:00,-37500.768
2005-01-03 16:00:00,-38467.44
2005-01-03 17:00:00,-38202.432
2005-01-03 18:00:00,-36510
2005-01-03 19:00:00,-34852.768
2005-01-03 20:00:00,-33083.696
2005-01-03 21:00:00,-30834.896
2005-01-03 22:00:00,-28971.616
2005-01-03 23:00:00,-27761.44
2005-01-04 00:00:00,-27034.912
2005-01-04 01:00:00,-26741.904
2005-01-04 02:00:00,-26864.928
2005-01-04 03:00:00,-27412.8
2005-01-04 04:00:00,-29627.424
2005-01-04 05:00:00,-32533.488
2005-01-04 06:00:00,-34473.6
2005-01-04 07:00:00,-35410.48
2005-01-04 08:00:00,-35833.568
2005-01-04 09:00:00,-36172.144
2005-01-04 10:00:00,-35937.632
2005-01-04 11:00:00,-35691.072
2005-01-04 12:00:00,-35608.112
2005-01-04 13:00:00,-35839.488
2005-01-04 14:00:00,-36705.744
2005-01-04 15:00:00,-37945.824
2005-01-04 16:00:00,-38961.968
2005-01-04 17:00:00,-38735.024
2005-01-04 18:00:00,-37059.04
2005-01-04 19:00:00,-35364.128
2005-01-04 20:00:00,-33644.608
2005-01-04 21:00:00,-31305.44
2005-01-04 22:00:00,-29363.632
2005-01-04 23:00:00,-28084.144
2005-01-05 00:00:00,-27373.728
2005-01-05 01:00:00,-27105.712
2005-01-05 02:00:00,-27225.792
2005-01-05 03:00:00,-27813.312
2005-01-05 04:00:00,-30075.072
2005-01-05 05:00:00,-33053.84
2005-01-05 06:00:00,-35021.76
2005-01-05 07:00:00,-35959.136
2005-01-05 08:00:00,-36339.408
2005-01-05 09:00:00,-36624.992
2005-01-05 10:00:00,-36236.8
2005-01-05 11:00:00,-36012.608
2005-01-05 12:00:00,-35891.136
2005-01-05 13:00:00,-36196.56
2005-01-05 14:00:00,-37078.16
2005-01-05 15:00:00,-38203.12
2005-01-05 16:00:00,-39033.52
2005-01-05 17:00:00,-38631.008
2005-01-05 18:00:00,-36990.8
2005-01-05 19:00:00,-35330.832
2005-01-05 20:00:00,-33623.456
2005-01-05 21:00:00,-31341.168
2005-01-05 22:00:00,-29390.624
2005-01-05 23:00:00,-28132.928
2005-01-06 00:00:00,-27391.2
2005-01-06 01:00:00,-26983.696
2005-01-06 02:00:00,-26788.496
2005-01-06 03:00:00,-26909.104
2005-01-06 04:00:00,-28470.88
2005-01-06 05:00:00,-30720.352
2005-01-06 06:00:00,-32420.496
2005-01-06 07:00:00,-33493.376
2005-01-06 08:00:00,-34111.968
2005-01-06 09:00:00,-34463.84
2005-01-06 10:00:00,-34170.784
2005-01-06 11:00:00,-33840.512
2005-01-06 12:00:00,-33785.072
2005-01-06 13:00:00,-33957.184
2005-01-06 14:00:00,-34826.752
2005-01-06 15:00:00,-36070.464
2005-01-06 16:00:00,-37059.872
2005-01-06 17:00:00,-36938.72
2005-01-06 18:00:00,-35551.824
2005-01-06 19:00:00,-34114.432
2005-01-06 20:00:00,-32745.552
2005-01-06 21:00:00,-30676.336
2005-01-06 22:00:00,-29049.088
2005-01-06 23:00:00,-27740.032
