utc_timestamp,DEU,ITA,CHE
2014-01-01,-3774.0733770085376,-1969.7340122091305,-320.68428167067765
2014-01-02,-3486.546157233536,-1962.8762416252553,-307.3800720765387
2014-01-03,-3206.9100957868213,-1841.8531267492622,-297.31026334296024
2014-01-04,-3100.223161726822,-1688.1883084166966,-287.2379151477777
2014-01-05,-3192.1998234991042,-1605.1691494603374,-293.4188284534746
2014-01-06,-3106.385359114591,-1633.612834521041,-286.61254679255137
2014-01-07,-2834.553115082036,-1657.5297910739657,-267.5314815444504
2014-01-08,-2641.280266461489,-1635.0983000462045,-246.58691177554712
2014-01-09,-2518.8605125597123,-1630.1284832568842,-237.4478126103622
2014-01-10,-2885.7848293423713,-1583.3182771894158,-248.435025843215
2014-01-11,-3170.523685809925,-1568.8892847034128,-250.1688512219657
2014-01-12,-3459.839555312552,-1561.8542859651466,-259.60433514174565
2014-01-13,-3544.8189071051866,-1635.447449809785,-269.15729271751786
2014-01-14,-3638.66291203737,-1750.4730929273912,-289.8796317045575
2014-01-15,-3708.607179416321,-1851.63458132666,-305.31055016689936
2014-01-16,-3522.3796196405183,-1889.0545702458319,-296.0178770340798
2014-01-17,-3414.645024069886,-1787.660861427213,-297.0636049781147
2014-01-18,-3471.5352684093605,-1652.2964778058042,-300.2962177037434
2014-01-19,-3462.9764090712983,-1501.4778376532918,-286.5037317575064
2014-01-20,-3680.377231834239,-1499.7478522190993,-290.62765919582876
2014-01-21,-3998.2061892168117,-1602.7376106581069,-307.57209651805454
2014-01-22,-4124.014317299378,-1671.0431530636704,-312.28939155562773
2014-01-23,-4219.129796007666,-1716.5505262564598,-313.4082842441593
2014-01-24,-4372.550330378598,-1861.2741468256988,-328.2155958658927
2014-01-25,-4575.642289242697,-2025.094512769638,-336.412243740712
2014-01-26,-4415.067479593576,-2074.4228892845326,-316.108083757251
2014-01-27,-4216.237556119912,-2120.564940438786,-317.16332811894654
2014-01-28,-4324.7462454641845,-2247.469232290964,-339.46205631663406
2014-01-29,-4542.226579668581,-2234.767601545617,-350.47951569217184
2014-01-30,-4581.168095719628,-2025.3558225106437,-345.9367048470092
2014-01-31,-4474.577974213875,-1779.0215829347997,-335.4772278339893
2014-02-01,-4164.295420160181,-1650.6348335249015,-319.9680951945862
2014-02-02,-3887.751957096542,-1647.185556639749,-308.185749184141
2014-02-03,-3889.629540920756,-1728.6628369882667,-305.67285711594974
2014-02-04,-3925.492478875246,-1818.285051346719,-309.5664706228207
2014-02-05,-3883.4144041562495,-1836.0216265543866,-307.934859563059
2014-02-06,-3544.501193297102,-1803.5898518021902,-299.6614315712725
2014-02-07,-3269.805525454784,-1776.7259379613008,-298.452932002763
2014-02-08,-3251.500100891379,-1737.3302961987695,-299.2374876607143
2014-02-09,-3241.2955147333364,-1680.2010862090312,-297.4376555026941
2014-02-10,-3434.8251843899257,-1719.5520083397303,-294.062393102614
2014-02-11,-3550.629364831588,-1699.9960555457974,-302.18600403010385
2014-02-12,-3580.7109937546848,-1739.8673901184814,-304.57082828761116
2014-02-13,-3452.899631917645,-1760.6762493689882,-289.90725055701614
2014-02-14,-3411.695011318041,-1673.109871372332,-287.7108518359996
2014-02-15,-2970.866053060845,-1612.5035520107979,-269.70273891067495
